cuneichar,cuneicharAltLabel,cuneicharLabel,phoneticValues,oslIDs
http://www.wikidata.org/entity/Q87556488,"CUNEIFORM SIGN TAG TIMES SHE, U+122F6",𒋶,tibirₓ,o0002400
http://www.wikidata.org/entity/Q87555968,"CUNEIFORM SIGN LAGAB TIMES TAK4, U+121E3",𒇣,"šurun₂, šara₃, bara₈, ninmuš, para₈, šuru₂",o0001834
http://www.wikidata.org/entity/Q87555978,"sul, CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH, U+121E8, CUNEIFORM SIGN DUN, CUNEIFORM SIGN SHUL",𒇨,"ugra, ušera, ugri, ušeri",o0001789
http://www.wikidata.org/entity/Q87556506,"CUNEIFORM SIGN TIR OVER TIR, U+12303",𒌃,"garadin₆, karadin₆, nenni₅, ninni₅",o0000639
http://www.wikidata.org/entity/Q87556508,"CUNEIFORM SIGN TIR OVER TIR GAD OVER GAD GAR OVER GAR, U+12304",𒌄,"garadin, karadin",o0000635
http://www.wikidata.org/entity/Q87556512,"CUNEIFORM SIGN TUG2, U+12306",𒌆,"dul₅, taškarin, tug₂, mur₁₀, ašlag₂, azalag₂, azlag₂, dašgari, i₆, mu₄, taskarin, te₅, tiškarin, tiškarini, tu₉, tuba₄, tuk₂, tuku₂, umuš, uš₄",o0000557
http://www.wikidata.org/entity/Q87557127,"CUNEIFORM SIGN DUG TIMES ERIN2, U+12492",𒒒,,o0001014
http://www.wikidata.org/entity/Q87556000,"CUNEIFORM SIGN LAL TIMES LAL, U+121F3",𒇳,"kurnun, la₅, lal-lal, lal₂, lalla, lallal, lalʾu, laʾu, papnun",o0000423
http://www.wikidata.org/entity/Q87556468,"CUNEIFORM SIGN SUR9, U+122EA",𒋪,"sur₉, sura₉, surru, zur₂",o0000540
http://www.wikidata.org/entity/Q87557150,"CUNEIFORM SIGN DUG TIMES LUH PLUS GISH, U+124A1",𒒡,,o0001008
http://www.wikidata.org/entity/Q87556017,"CUNEIFORM SIGN LU TIMES BAD, U+121FC",𒇼,"adda₂, ad₃",o0001928
http://www.wikidata.org/entity/Q87557149,"CUNEIFORM SIGN DUG TIMES LAM TIMES KUR, U+124A0",𒒠,,o0001007
http://www.wikidata.org/entity/Q87557154,"CUNEIFORM SIGN DUG TIMES MES, U+124A3",𒒣,,o0001028
http://www.wikidata.org/entity/Q87556480,"CUNEIFORM SIGN TAB OVER TAB NI OVER NI DISH OVER DISH, U+122F1",𒋱,"ubišaga, ubinigga",o0002382
http://www.wikidata.org/entity/Q87557152,"CUNEIFORM SIGN DUG TIMES MASH, U+124A2",𒒢,,o0001027
http://www.wikidata.org/entity/Q87556025,"CUNEIFORM SIGN LU2 TIMES ESH2, U+12200",𒈀,,o0001971
http://www.wikidata.org/entity/Q87556558,"CUNEIFORM SIGN UDUG, U+1231C",𒌜,"gidim₄, rābiṣu, šēdu, šedu₂, udug, uduₓ, utug",o0000570
http://www.wikidata.org/entity/Q87556038,"CUNEIFORM SIGN LU2 TIMES KAD3, U+12206",𒈆,,o0001977
http://www.wikidata.org/entity/Q87556561,"CUNEIFORM SIGN UM TIMES LAGAB, U+1231E",𒌞,"samag₅, sumug₅",o0002532
http://www.wikidata.org/entity/Q87557169,"CUNEIFORM SIGN ERIN2 X, U+124AB",𒒫,,o0001086
http://www.wikidata.org/entity/Q87556503,"CUNEIFORM SIGN TIR, U+12301",𒌁,"ter, tir, dir₄, ezina₃, ezinam₃, ezinu₃, gamun₂, ninni₈, panaₓ, qišat, šabu, še₁₅, si₃₀, ṭer₅, ṭir₅",o0002726
http://www.wikidata.org/entity/Q22906609,"Lu, CUNEIFORM SIGN LU, U+121FB, UDU",𒇻,"eze, lu, lug, udu, nu₁₂, si₆",o0000433
